Recipe Name,Directions
Chocolate Chip Cookies with Peppermint Extract,"Preheat oven to 350 degrees F (175 degrees C).Combine butter, white sugar, and brown sugar in a large bowl; beat with an electric mixer until creamy. Beat in eggs. Stir in vanilla extract and peppermint extract. Dissolve baking soda in hot water and mix into the batter. Combine flour, salt, and cream of tartar in a separate bowl. Add to the batter gradually; mix well. Stir in chocolate chips. Drop spoonfuls of batter onto ungreased baking sheets. Bake in the preheated oven until edges are nicely browned, about 10 minutes. Cool on the baking sheets for 1 minute; transfer to a wire rack to cool completely."
Chocolate Chip Cookies Without Chocolate Chips,Preheat oven to 375 degrees F (190 degrees C). Cream the butter with the sugar and the honey. Stir in the eggs and vanilla. Add the flour and baking soda. Stir in the chopped candy bars and chopped walnuts. Place teaspoon sized cookies about 2 inches apart on an ungreased baking sheet. Bake at 375 degrees F (190 degrees C) for 10 minutes or until golden brown.
Chocolate Chip Crispy Cookies,"In small mixing bowl, combine flour, baking soda and salt.  Set aside. In large mixing bowl, beat together margarine and sugar until light and fluffy.  Add egg and vanilla.  Beat well.  Add flour mixture, mixing until combined.  Stir in Rice Krispies cereal and chocolate chips . Drop by level tablespoons onto cookie sheets coated with vegetable spray. Bake at 350 degrees F (175 degrees C)  about 12 minutes or until lightly browned.  Remove immediately from cookie sheets and cool on wire racks.  Store in airtight container."
Chocolate Chip Crisscross Cookies,"Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with a silicone baking mat or parchment paper. Put butter, white sugar, brown sugar, vanilla, baking soda, and salt in a bowl. Cream together with a mixer until butter clings to sides of bowl and is uniform in color, about 2 minutes. Mix in eggs 1 at a time, waiting until first is incorporated before adding second. Add 2 cups flour; mix on low speed until incorporated. (Dough will be very soft.) Divide dough roughly in half and transfer one half to a separate bowl. Mix remaining 1/2 cup flour into one half, then stir in semisweet chocolate chips until evenly distributed. Mix cocoa powder into other half, then stir in white chocolate chips until evenly distributed. Roll a tablespoon of each dough into a ball and tap lightly on counter to create a flat bottom (see assembly shots at left). Press flat sides together to form a larger ball, then flatten into a half dark, half light disk. Cut disk in half with a knife, cutting perpendicular to dough seam. Flip one half over and then firmly press halves back together. You should have a disk with 4 alternating quarters. Repeat with remaining dough. Transfer to baking sheet, spacing about 2 inches apart. Sprinkle with flaky sea salt. Bake until cookie edges start to turn golden brown, 10 to 12 minutes. Cool on sheet 10 minutes. Transfer to a wire rack to cool completely."
Chocolate Chip Granola Cookies,"Heat oven to 350 degrees F. Coat baking sheets with no stick cooking spray. Beat shortening and brown sugar in large bowl with electric mixer on medium speed until creamy. Beat in eggs, milk and vanilla. Combine flour, salt and baking soda in medium bowl. Add to egg mixture. Mix well. Stir in granola and chocolate chips. Drop by rounded tablespoonfuls onto prepared baking sheets. Bake 9 to 10 minutes or until bottoms are lightly browned. Cool 2 minutes. Remove to wire rack to cool completely."
Chocolate Chip Granola Protein Cookies,"Preheat oven to 350 degrees F (175 degrees C). Spray 2 nonstick muffin tins with cooking spray. Combine oats, trail mix, chocolate chips, raisins, and protein powder in a large bowl. Add maple flavored syrup, honey, salt, and vanilla extract; stir until dough is thoroughly and evenly mixed. Press dough firmly into the bottom of each muffin cup. Bake in the preheated oven until edges are golden, about 6 minutes."
Chocolate Chip Honey Cookies,"Preheat oven to 300 degrees F (150 degrees C). Grease a baking sheet. Beat shortening, honey, and brown sugar with an electric mixer in a large bowl until smooth. Add egg and vanilla extract; beat until light and fluffy. Sift flour, baking soda, and salt together in a bowl; stir into honey mixture until just incorporated and dough comes together. Fold chocolate chips and almonds into dough. Drop spoonfuls of the dough 2 inches apart onto the prepared baking sheet. Bake in the preheated oven until edges just begin to brown, 12 to 15 minutes."
Chocolate Chip Kiss Cookies,"Preheat oven to 375 degrees F (190 degrees C). In large mixing bowl, beat butter or margarine, sugar, brown sugar and vanilla until well blended. Add flour, blend until smooth. Stir in small chocolate chips. Unwrap chocolate kiss candies. Mold scant tablespoons of dough around each chocolate piece, covering completely. Shape into balls; place on ungreased cookie sheet. Shape into balls; place on ungreased cookie sheet. Bake 10 to 12 minutes or until set. Cool slightly; remove from cookie sheet to wire rack. Cool completely. NOTE: I buy chocolate dessert topping and drizzle over cooled cookies."
Chocolate Chip Marble Cookies,"Preheat oven to 350 degrees F (175 degrees C). In a large bowl, cream together the shortening, water, white sugar and brown sugar until light and fluffy. Add the eggs one at a time, beating well with each addition, then stir in the vanilla. Combine the flour and baking soda, stir into the creamed mixture. Fold in the chocolate chips, then fold in the cocoa powder last to create a marbled effect. Drop by rounded spoonfuls onto a cookie sheet. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely."
Chocolate Chip Meringue Cookies,"Preheat oven to 300 degrees F (150 degrees C). Line 2 large baking sheets with parchment paper. In a small bowl, whisk together sugar and cornstarch; set aside. In a large bowl beat egg whites with an electric mixer, until foamy. Beat in vinegar on medium speed until soft peaks form (about 2 minutes). On high speed, beat in sugar mixture, 1 tablespoon (15 mL) at a time, until stiff glossy peaks form (about 2 to 3 minutes). Fold in chocolate chips and cocoa powder, until just blended. Drop by tablespoonfuls (15 mL), about 1 inch (2.5 cm) apart, onto prepared baking sheets. Bake for 30 minutes or until cookies are dry to touch, rotating pans halfway through. Remove cookies from sheets and place on cooling racks. Sprinkle with cocoa powder, if desired. Cool completely. Store in airtight containers."
Chocolate Chip Oatmeal Cookies,"Preheat oven to 375 degrees F (190 degrees C). Beat together margarine and sugars until creamy. Add eggs, milk and vanilla; beat well. Add combined flour, baking soda and salt; mix well. Stir in oats, chocolate chips and nuts; mix well. Drop by rounded tablespoonfuls onto ungreased cookie sheet. Bake 9 10 minutes. Cool for 1 minute on cookie sheet; remove to wire rack."
Chocolate Chip Peppermint Cookies,"Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.In a large bowl, cream together butter, white sugar, and brown sugar until light and fluffy. Beat in egg, then stir in vanilla and peppermint extracts. Combine flour, cocoa powder, baking soda, and salt; gradually stir into the creamed mixture. Mix in the chocolate chips. Drop by rounded spoonfuls onto the prepared cookie sheets. Bake for 12 to 15 minutes in the preheated oven. Allow cookies to cool on cookie sheets for 5 minutes before transferring to a wire rack to cool completely."
Chocolate Chip Pistachio Cookies,"Preheat oven to 375 degrees F (190 degrees C). Lightly grease cookie sheets. Sift together the flour, baking powder and salt, set aside. In a medium bowl, cream together the butter and sugar. Add the eggs, milk and vanilla, stirring after each addition. Add the dry ingredients and mix until a stiff dough forms. Separate 1/4 of the dough form the rest and set aside in a small bowl. Add the nuts to the dough in the small bowl. Add the pudding mix and 3/4 cup of chocolate chips to the large portion of dough; mix until blended. Roll the pudding flavored dough into walnut sized balls, and place them 1 1/2 inches apart on the prepared cookie sheets. Flatten the balls using your hand or the bottom of a glass dipped in sugar. Roll the dough from the small bowl into marble sized balls, place 1 ball on top of each of the flattened cookies. Then, on top of each cookie, place 1 of the white chocolate chips. Bake for 8 to 10 minutes in the preheated oven, or until cookies are set. Remove from the baking sheet to cool on wire racks. When cool, dust with confectioners' sugar if desired."
Chocolate Chip Pudding Cookies,"Preheat oven to 375 degrees F (190 degrees C). Combine the flour and baking soda. Set aside. Mix the butter, brown sugar, white sugar, pudding mix, and vanilla. Beat until creamy. Add the eggs and mix well. Gradually stir in the flour mixture. Stir in the chocolate chips and the chopped nuts. Drop from teaspoon onto ungreased cookie sheets about 1 inch apart. Bake at 375 degrees F (190 degrees C) for 8 to 10 minutes."
Chocolate Chip Pumpkin Cookies,"Preheat the oven to 375 degrees F (190 degrees C). Grease cookie sheets. In a large bowl, cream together the shortening and white sugar until smooth. Beat in the eggs one at a time. Stir in the vanilla and pumpkin until well blended. Combine the flour, baking soda, baking powder, salt, cinnamon and nutmeg; stir into the pumpkin mixture. Mix in the chocolate chips. Stir in the walnuts if desired. Drop by teaspoonfuls onto the prepared cookie sheets. Bake for 12 to 15 minutes in the preheated oven, until edges begin to brown. Allow to cool for a few minutes on the baking sheets before removing to wire racks to cool completely."
Chocolate Chip Pumpkin Spice Cookies,"Preheat oven to 375 degrees F (190 degrees C). Mix spice cake mix, pumpkin puree, chocolate chips, nutmeg, cinnamon, ginger, and white sugar in a large bowl until just combined. Roll dough into 1 inch balls and place 1 inch apart onto ungreased baking sheets. Bake in the preheated oven until golden brown, 11 to 13 minutes. Mix confectioners' sugar, milk, and vanilla extract together in a bowl until smooth, adding more milk if needed. Drizzle sugar mixture over warm cookies."
Chocolate Chip Shortbread Cookies I,"With an electric beater, mix together the butter or margarine and the confectioners' sugar. Sift together the flour and the corn starch and mix in gradually in the butter mixture. Add the chocolate chips. Shape dough into little balls of approximately 1 1/4 inch in diameter. Put on a non greased cookie sheet. Bake at 330 degrees F (170 degrees C) for approximately 20 minutes."
Chocolate Chip Shortbread Cookies II,"Preheat oven to 350 degrees F (175 degrees C). In a large bowl, cream together the butter and 2 cups confectioners' sugar. Beat in the vanilla and coconut extracts and salt. Add flour one cup at a time, mixing well after each. Stir in the chocolate chips and pecans. Roll the dough into 1 inch balls and place them 2 inches apart onto an ungreased cookie sheet. Flatten with a fork dipped in confectioners' sugar. Bake for 12 to 15 minutes in the preheated oven, until a light golden brown. While cookies are still warm from the oven, dust with the remaining confectioners' sugar."
Chocolate Chips Cookies with Tennessee Whiskey,"Preheat oven to 350 degrees F (175 degrees C). Sift flour, baking soda, and salt together into a bowl. Beat butter, white sugar, and brown sugar together in a large bowl with an electric mixer until smooth. Beat the first egg into the butter until completely blended; beat in the second egg. Add whiskey and vanilla extract; beat until smooth. Mix flour mixture into creamed butter mixture until just incorporated; fold in chocolate chips. Form dough into 1 inch balls and place on a baking sheet, 1 to 2 inches apart. Bake in the preheated oven until edges are lightly browned, 9 to 12 minutes. Transfer cookies to a wire rack to cool."
Chocolate Chocolate Chip Cake Cookies,"Preheat oven to 350 degrees F (175 degrees C). In a large mixing bowl, cream together the butter and sugar until light and fluffy. This should take about 10 minutes! Add the eggs one at a time and mix to incorporate. Add the vanilla and mix thoroughly. In a 1 gallon plastic food bag, place the all purpose flour, baking soda, kosher salt and cocoa powder.  Seal the bag and massage the ingredients to combine.  The mixture will appear homogenous with no separate ingredients showing. Add the flour and cocoa mix to the creamed butter and sugar. Mix together until the dough appears completely combined   about 3 minutes. Add all the walnuts and chocolate chips and stir them into the dough. Drop by two teaspoonfuls onto an ungreased cookie sheet. Or roll into balls, place about two inches apart on the sheet, and flatten slightly with your fingers. Bake for 11 minutes at 350 degrees F (175 degrees C). The cookies will appear to be just barely firm with a sheen to their surfaces.  Allow to cool on the sheet for about one minute before removing to a cooling rack to cool completely.  Store in airtight containers. "
Chocolate Chocolate Chip Cookies I,"Preheat oven to 350 degrees F (175 degrees C). In large bowl, beat butter, sugar, eggs, and vanilla until light and fluffy. Combine the flour, cocoa, baking soda, and salt; stir into the butter mixture until well blended. Mix in the chocolate chips and walnuts. Drop by rounded teaspoonfuls onto ungreased cookie sheets. Bake for 8 to 10 minutes in the preheated oven, or just until set. Cool slightly on the cookie sheets before transferring to wire racks to cool completely."
Chocolate Chocolate Chip Cookies II,"Preheat oven to 350 degrees F (175 degrees C). Whisk together the flour, cocoa powder, and baking soda.Beat the butter, white sugar, and brown sugar with an electric mixer in a large bowl until smooth. Beat in one egg until completely incorporated. Beat in the last egg along with the vanilla. Mix in the flour mixture until just incorporated. Fold in the chocolate chips; mixing just enough to evenly combine. Drop by heaped teaspoonfuls onto ungreased baking sheets.Bake in the preheated oven until the edges are golden, 9 to 12 minutes. Allow the cookies to cool on the baking sheet for 1 minute before removing to a wire rack to cool completely."
Chocolate Chocolate Chip Cookies III,"Combine flour, baking powder and salt. Set aside. Melt 1 cup of chocolate chips over low heat.  Cream butter and sugar.  Add melted chocolate chips and vanilla; beat in eggs; add flour mixture and remaining chocolate chips. Wrap in plastic and freeze until firm (about 20 minutes). Make small balls (1 inch); roll in confectioners' sugar.   Place on ungreased cookie sheet and bake for 10 12 minutes at 350 degrees F (175 degrees C). Cool on wire rack."
Chocolate Macadamia Nut and White Chocolate Chip Cookies,"Preheat oven to 350 degrees F (180 degrees C). Lightly grease cookie sheets or line with parchment paper. Melt unsweetened chocolate in top of double boiler or hot, not boiling water. Remove from heat; let cool. Cream butter, melted chocolate and sugar in large bowl until blended. Add egg and vanilla; beat until light. Blend in flour, baking soda, chocolate chips and macadamia nuts. Drop dough by rounded teaspoonfuls 2 inches apart onto prepared cookie sheets. Bake 10 to 12 minutes or until firm. DO NOT OVERBAKE. Remove to wire racks to cool."
Chocolate Oatmeal Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Combine flour, cocoa powder, baking soda, baking powder, and salt in a bowlBeat butter, white sugar, and brown sugar in a bowl with an electric mixer until light and fluffy. Beat the first egg into the butter until completely blended, then beat in vanilla extract with the last egg. Mix in flour mixture until just incorporated. Fold in oats and chocolate chips, mixing just enough to evenly combine.Drop tablespoonfuls of the dough 2 inches apart onto ungreased baking sheets.Bake in preheated oven until cookies are set, 11 to 12 minutes. Cool in baking sheets for 10 minutes before removing to cool completely on a wire rack."
Chocolate Oatmeal Chocolate Chips Cookies,"Preheat oven to 350 degrees F (175 degrees C). Beat butter, brown sugar, and white sugar together in a bowl using an electric mixer until smooth and creamy. Beat eggs and vanilla extract into butter mixture until incorporated. Whisk oats, flour, chocolate chips, cocoa powder, baking soda, and salt together in a bowl; slowly stir into butter mixture until dough is just mixed. Scoop dough using a small scooper onto baking sheet. Bake in the preheated oven until edges of cookies are lightly browned, about 15 minutes"
Chocolate Swirl and Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets. In a medium bowl, cream together the butter and brown sugar until smooth. Stir in the egg and vanilla. Combine the flour, rolled oats, baking soda and salt, stir into the creamed mixture. Then stir in the chocolate chips. Fold the cocoa powder in slightly, to create a marbled effect. Drop dough by rounded teaspoonfuls onto the prepared cookie sheets. Bake for 10 to 12 minutes in the preheated oven. Allow cookies to cool for 2 minutes on the baking sheet before removing to cool on wire racks. Store in an airtight container."
Chocolate Chocolate Chip Bacon Cookies,"Preheat an oven to 350 degrees F (175 degrees C). Place the bacon in a large, deep skillet, and cook over medium high heat, turning occasionally, until evenly browned, about 10 minutes. Drain the bacon slices on a paper towel lined plate. Crumble. Beat the sugar, butter, eggs, and vanilla extract with an electric mixer in a large bowl until fluffy and smooth. Stir in flour, cocoa powder, baking soda, and salt. Mix in the chocolate chips and bacon. Drop cookies by rounded spoonfuls onto ungreased cookie sheets. Bake for 10 to 12 minutes in the preheated oven. Let stand 5 minutes before transferring to wire racks to cool completely."
Cinnamon Chocolate Chip Cookies,"Sift flour, cinnamon, salt, and baking soda together in a bowl. Beat butter and sugar with an electric mixer in a large bowl until smooth. Beat eggs, one at a time, into butter mixture until completely incorporated. Beat vanilla extract in with the last egg. Mix flour mixture into egg mixture until just incorporated. Fold in the chocolate chips, mixing dough just enough to evenly combine. Wrap dough in plastic and chill overnight. Preheat oven to 375 degrees F (190 degrees C). Roll cookie dough out on a lightly floured surface and cut into desired shapes with cookie cutters. Arrange cookies about 1 1/2 inch apart on baking sheets. Bake in the preheated oven until the edges are golden, 8 to 10 minutes. Allow the cookies to cool on the baking sheet for 5 minutes before removing to a wire rack to cool completely"
Coconut Almond Flour Chocolate Chip Cookies,"Preheat the oven to 375 degrees F (190 degrees C). Line 2 baking sheets with parchment paper. Combine butter, brown sugar, and white sugar in a large bowl; beat with an electric mixer until creamy. Add vanilla extract. Beat in eggs one at a time.Combine almond flour, coconut flour, baking soda, and salt in a separate bowl. Mix into the creamed butter mixture until just combined. Add chocolate chips, oats, and coconut; stir again just until combined. Scoop cookie dough onto the prepared baking sheets. Bake in the preheated oven until browned, 12 to 15 minutes."
Coconut Buffalo Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Grease 2 baking sheets. Mix flour, cocoa powder, baking powder, and baking soda together in a bowl. Beat coconut oil, brown sugar, and white sugar together in a separate bowl until creamy and smooth. Beat eggs and vanilla extract into coconut oil mixture. Mix flour mixture into coconut oil mixture until just blended. Fold rolled oats, corn flakes, chocolate chips, shredded coconut, and raisins into the batter. Drop rounded tablespoonfuls of batter onto the prepared baking sheet. Bake in the preheated oven until edges of cookies are lightly browned and middles are cooked through, 10 to 12 minutes. Cool cookies on the pans for 10 minutes before removing to cool completely on a wire rack."
Coconut Oil Milk Chocolate Chip Oat Cookies,"Preheat oven to 325 degrees F (165 degrees C). Line a baking sheet with parchment paper. Combine coconut oil, brown sugar, and white sugar in a large bowl; beat with an electric mixer until creamy. Beat in egg and vanilla extract. Mix flour, baking soda, and salt together in a bowl. Gradually beat into the coconut oil mixture until just blended. Fold chocolate chips and oats into the dough. Roll 2 tablespoons of dough into a ball. Place on the prepared baking sheet. Repeat with remaining dough, spacing balls about 2 inches apart. Bake in the preheated oven until cookies are golden on the bottom, 12 to 14 minutes."
Coffee Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Toast almonds in oven for 10 minutes or until brown. Dissolve coffee in 2 tablespoons hot water. In a separate small mixing bowl mix flour, baking soda and salt. Beat butter and sugar in an electric mixer at a medium speed until fluffy. Pour coffee, vanilla and eggs into the butter mixture; mix well. Reduce mixer's speed to low and slowly pour flour mixture into the butter mixture. Fold chocolate chips and almonds into the dough. Drop dough by teaspoonfuls onto an ungreased cookie sheet, 3 inches apart. Bake for 10 minutes."
Cream Cheese Chocolate Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). Grease cookie sheets with non stick cooking spray (I use butter flavored) and set aside. Combine cream cheese, margarine, and sugars. Blend in egg and vanilla. Add dry ingredients and mix well. Add chocolate chips and mix.  Bake 15 18 minutes or until edges are slightly browned. Enjoy!"
Crisp Rice Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Lightly coat baking sheets with non stick cooking spray. Combine the flour, baking soda and salt. Set aside. Cream the butter with the sugar until light and fluffy. Beat in the egg and vanilla until well combined. Mix in the flour mixture. Stir in the cereal and chocolate chips. Drop by level tablespoons onto the prepared baking sheets. Bake at 350 degrees F (175 degrees C) for 12 minutes or until lightly browned. Remove immediately from baking sheets and cool on wire racks. Store in an airtight container."
Crystal's Chocolate Chip Pumpkin Cookies,"Preheat oven to 375 degrees F (190 degrees C). Grease two cookie sheets. Mix the flour, baking powder, baking soda, and pumpkin pie spice together in a mixing bowl. Beat the butter and sugar together in a second mixing bowl until light and fluffy. Beat in the eggs, one at a time, until smooth and well blended. Mix in the pumpkin and vanilla extract until smooth. Gradually add the flour mixture, stirring to make a smooth batter. Stir in the walnuts and chocolate chips. Drop by tablespoon sized spoonfuls on prepared cookie sheets. Bake in preheated oven until edges are golden, 18 to 20 minutes. Cool briefly on the cookie sheet before transferring to wire racks to cool completely."
Daddy Cookies (Gluten and Grain Free Peanut Butter and Chocolate Chip Cookies),"Preheat oven to 350 degrees F (175 degrees C).Mix peanut butter, eggs, chocolate chips, honey, coconut flour, salt, and baking soda together in a bowl; drop by heaping tablespoon onto a baking sheet. Bake in the preheated oven for 10 minutes. Turn baking sheet and continue baking until cookies are crisp around the edges, about 3 minutes more."
Dark Chocolate Chipotle Cookies,"Whisk together flour, baking soda, and salt in a bowl. Place the chopped chocolate into a microwave safe bowl; melt in the microwave oven at 40 percent power in 30 second intervals; stirring after each melting, until the chocolate is warm and smoothly melted, 1 to 3 minutes. Allow to cool slightly. In a separate large bowl, use an electric mixer to beat the butter, brown sugar, 1 1/2 cup of white sugar, cocoa powder, and chipotle pepper until smooth. Add the eggs one at a time, beating each egg into the mixture before adding the next. Beat in the vanilla extract and water. Mix the melted chocolate into the butter mixture. Gently stir in the flour mixture until incorporated. Mix in the chocolate chips. Cover bowl, and refrigerate dough for 1 hour. Preheat oven to 350 degrees F (175 degrees C). Line baking sheets with parchment paper. Place 1/2 cup sugar in a small bowl. Roll dough into small balls. Roll balls in sugar to coat. Place the cookies onto the prepared baking sheets, about 2 inches apart. Bake in the preheated oven until cookies are set, 12 to 14 minutes. Allow to cool on the sheets for a minute or two before removing to racks to finish cooling."
David's Secret Ingredient Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Process cereal in a food processor or blender to a fine powder. Measure out 1 cup of the powder and combine it with the flour, baking soda and salt; set aside. In a large bowl, cream together the butter, white sugar and brown sugar until smooth. Beat in the eggs, one at a time then stir in the vanilla. Gradually blend in the dry ingredients. Stir in the chocolate chips. Drop by rounded spoonfuls onto the prepared cookie sheet. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely. To keep cookies from getting too brown on the bottom place the cookie sheet with the raw cookie dough on it on top of another empty cookie sheet before placing the cookies in the oven. The extra cookie sheet helps keep the cookies from getting too brown on the bottoms."
Derby Day Chocolate Chip Cookies,"Preheat the oven to 350 degrees F (175 degrees C). In a medium bowl, stir together the flour, baking soda and salt with a fork. Set aside. Cream together the butter, white sugar, and brown sugar until smooth. Beat in the eggs one at a time, then stir in the bourbon. Stir in the flour mixture just until blended. Fold in pecans and chocolate chips.  Drop by large spoonfuls onto ungreased baking sheets. Bake in the preheated oven until the edges are lightly browned, about 10 minutes. Cool on the cookie sheet for a minute, then remove to wire racks to cool completely."
Devouring Oatmeal Chocolate Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper. Beat butter, brown sugar, and white sugar together until creamy. Add eggs and vanilla extract; stir to combine. Sift flour, cinnamon, baking soda, and baking powder together in a separate bowl; stir into butter sugar mixture until thick and free of clumps. Gradually stir oats, 1 cup at a time, into batter until evenly mixed. Fold in chocolate chips. Scoop 1 to 2 tablespoons batter and drop onto prepared baking sheet. Repeat with remaining batter, keeping about 2 inches between each scoop. Bake in the preheated oven until edges of cookies are lightly browned, 9 to 10 minutes. Let cookies cool on the baking sheet before removing, 30 minutes."
Dishpan Chocolate Chip Cookies,"First find a plastic dishpan (this keeps you from burning up your mixer). Blend oatmeal in blender until a fine powder. Cream butter and both sugars. Add eggs and vanilla. Mix together with flour, oatmeal, salt, baking powder and baking soda. Add chips, candy, nuts, raisins, and coconut. Roll into balls and place 2 inches apart on cookie sheet. Bake for 6 minutes at 375 degrees F (190 degrees C). Makes 6 dozen."
Double Chocolate Chip Cookies with Peppermint,"Preheat oven to 375 degrees F (190 degrees C). In a small bowl, stir together flour, baking soda, and salt. In a large bowl, stir together the butter, white sugar, and brown sugar until creamy and smooth. Stir in vanilla; then stir in eggs one at a time, stirring until the mixture is creamy and well incorporated. Gradually stir in the flour, 1/2 cup at a time, mixing well between each addition. Stir in the semi sweet chips, then the bittersweet chips. Mix in the peppermint candy, stirring until evenly distributed. Drop by spoonfuls onto ungreased baking sheets. Bake in a preheated oven for 9 to 11 minutes, or until golden brown. Remove from oven; allow cookies to cool momentarily on the sheets before removing them to wire racks to cool completely."
Double Chocolate Chip Macadamia Cookies,"Preheat the oven to 375 degrees F (190 degrees C). Sift together the flour, baking soda and salt; set aside. In a medium bowl, cream together the butter, brown sugar and white sugar until smooth. Beat in the eggs one at a time then stir in the vanilla. Gradually blend in the sifted ingredients. Mix in the white chocolate and semisweet chocolate chips and macadamia nuts. Drop by rounded tablespoonfuls onto ungreased cookie sheets. Bake for 8 to 10 minutes in the preheated oven, or until golden brown. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely."
Double Coco Double Chocolate Chip Cookies (a twist on Toll House cookies),"Preheat oven to 375 degrees F (190 degrees C). Mix flour, cocoa powder, salt, and baking soda together in a large bowl. Whisk white sugar, brown sugar, butter, shortening, eggs, and vanilla extract together in a separate bowl until smooth. Stir sugar mixture into flour mixture until just combined. Fold in chocolate chips and walnuts. Spoon batter, 1 to 2 tablespoons per cookie, onto a baking sheet. Bake in the preheated oven until cookies are browned, 10 to 15 minutes. Cool cookies for 5 minutes on the baking sheet before serving."
Double Nut Chocolate Chip Cookies,"Preheat oven to 375 degrees F.  Grease cookie sheets. Melt the butter in a sauce pan over low heat.  Pour into bowl and combine with cake mix and egg.  Beat on low with an electric mixer until blended. Stir in chocolate chips, pecans and 1/4 cup of almonds. Shape dough into balls.  Press top of ball in remaining almonds. Bake for 9 11 minutes or until lightly browned."
Double Peanut Butter & Milk Chocolate Chip Cookies,"Heat oven to 350 degrees F. Beat butter, sugar and peanut butter in medium bowl until creamy. Add egg and vanilla; beat well. Stir together flour, baking soda and salt; add to butter mixture, blending well. Stir in milk chocolate chips and peanut butter chips. Drop by rounded teaspoons onto ungreased cookie sheets. Bake 12 to 14 minutes or until light golden brown around the edges. Cool 1 minute on cookie sheet. Remove to wire rack; cool completely."
Double Peanut Double Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C).  In a bowl whisk together flour, cocoa powder, baking soda, and baking powder.  In another bowl with an electric mixer cream butter, peanut butter, and sugar until light and fluffy.  Beat in eggs, 1 at a time, beating well after each addition.  Beat in flour mixture and stir in chocolate chips and peanut butter chips. Drop dough by level tablespoonfuls 2 inches apart onto buttered baking sheets and bake cookies in batches in the middle of oven 20 minutes.  Cool cookies on racks.  Cookies keep in airtight containers for about 5 days."
Easy Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Pour the cake mix into a large bowl. Stir in the butter, eggs and vanilla with an electric mixer until well blended.  Stir in the chocolate chips. Drop by rounded spoonfuls onto cookie sheets. Bake for 11 to 15 minutes in the preheated oven, until the edges are golden. Cool on baking sheets for a few minutes before removing to cool on wire racks."
Easy Passover Chocolate Chip Cookies,"Place oven rack in the upper third of the oven. Preheat oven to 350 degrees F (175 degrees C). Spray 2 cushioned or heavy duty baking sheets with cooking spray. Beat shortening and sugar together in a large mixing bowl with an electric mixer on medium speed until creamy and smooth. Beat egg into shortening mixture until well mixed. Place matzo cake meal, orange juice, potato starch, and salt into bowl with shortening mixture; beat on low speed until batter is well combined. Stir chocolate chips into batter. Drop batter by rounded tablespoons about 2 inches apart onto prepared baking sheets. Bake cookies in the preheated oven until pale golden brown, 14 to 17 minutes. Cool cookies on baking sheet for 2 minutes. Transfer to rack to cool completely."
Easy Pumpkin Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). Grease two baking sheets. Whisk sugar, pumpkin, vegetable oil, eggs, milk, and vanilla together in a large bowl until smooth. Stir flour, baking powder, baking soda, cinnamon, and salt together in a bowl. Gradually pour flour mixture into pumpkin mixture; stir to incorporate. Stir chocolate chips into dough. Drop spoonfuls of the dough 2 inches apart onto prepared baking sheets. Bake in the preheated oven until golden, 10 minutes."
Egg Free Chocolate Chip Pumpkin Cookies,"Preheat oven to 375 degrees F (190 degrees C). Cream the sugar, shortening, pumpkin and vanilla together. Mix until light and well combined. Mix the flour, baking soda and ground cinnamon. Stir the flour mixture into the creamed mixture. Mix until combined. Stir in the chocolate chips. Drop by teaspoons onto an ungreased baking sheet. Bake at 375 degrees F (190 degrees C) for 12 to 15 minutes or until set. Let cookies cool on a rack."
European Cookie Butter Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Generously grease a baking sheet with 1 tablespoon butter. Beat 1 cup softened butter, brown sugar, and white sugar together in a bowl with an electric mixer until smooth and creamy. Beat one egg into the batter until fully integrated. Add second egg with vanilla extract; beat until smooth. Dissolve baking soda into hot water in a small bowl; stir into the batter along with the heavy cream. Add flour and chocolate chips into the batter; stir vigorously for 20 seconds. Stir the cookie spread through the batter. Drop batter onto prepared baking sheet in portions spaced about 1 inch apart. Bake in the preheated oven until golden brown, about 20 minutes. Let cookies cool for 5 minutes on sheet before moving to a wire rack to cool completely."
